round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.6614512205123901,0.7919209599494934,0.7608924096677714,0.660723686519496,0.8968605592873136,0.8577919539470708,113726.0,,,,
1,0.6517532467842102,0.8325185179710388,0.8173002215763576,0.750845964046528,0.8966598615115863,0.8856885543043359,113726.0,,,,
2,0.6511073112487793,0.8331076502799988,0.818244498496543,0.7520992870345921,0.8971462170051028,0.8862975712693133,113726.0,,,,
3,0.6507248878479004,0.8340396881103516,0.8191175343095914,0.7523635147268534,0.8988704961824033,0.8870836451667623,113726.0,,,,
4,0.6507790088653564,0.8351916074752808,0.8202748185296347,0.7526306528242126,0.9012790526160523,0.8869788514669489,113726.0,,,,
5,0.650709331035614,0.8353674411773682,0.8210636976155206,0.7562542912976884,0.8980223272149517,0.8874776560257909,113726.0,,,,
6,0.6507577300071716,0.8368886709213257,0.8251055966209082,0.7656517935258093,0.8945700617410148,0.8879763564268833,113726.0,,,,
7,0.6506137847900391,0.8360884785652161,0.8230312811506146,0.7659427844433057,0.8893151696688687,0.8887006638113384,113726.0,,,,
8,0.650434136390686,0.8385329842567444,0.8259216775526842,0.77102249597338,0.8892381807789663,0.8891894013274784,113726.0,,,,
9,0.6508362889289856,0.8355257511138916,0.8232559458003798,0.7679818066426909,0.8871036715743174,0.8879281209694131,113726.0,,,,
10,0.6513212323188782,0.8368974328041077,0.8263023345101088,0.7756953479376912,0.8839734727815511,0.8878500143841133,113726.0,,,,
11,0.6515493392944336,0.8363258838653564,0.8264817197084102,0.7796204780077733,0.8793366790312023,0.8880259986887211,113726.0,,,,
12,0.6501089930534363,0.8413379788398743,0.826842984089208,0.7576279830469725,0.9099761316350886,0.8911993927963342,113726.0,,,,
13,0.6496898531913757,0.8391308784484863,0.8299136320110075,0.782352631855708,0.8836316122901489,0.8918293483638645,113726.0,,,,
14,0.650383710861206,0.8330284953117371,0.8261160203287395,0.7930658602623158,0.8620406291207217,0.8923597119305737,113726.0,,,,
15,0.652113139629364,0.8077484369277954,0.8096034275562987,0.8125327739905611,0.806695127030404,0.8855417997219394,113726.0,,,,
16,0.6531981229782104,0.8112832307815552,0.8100270858781666,0.8051664672344618,0.8149467459836854,0.8824234116982359,113726.0,,,,
17,0.6515672206878662,0.8193025588989258,0.8193787684356707,0.8225018086852182,0.8162793548500079,0.8912382670703438,113726.0,,,,
18,0.6520997881889343,0.8017779588699341,0.8090272188948097,0.8381015901990382,0.7819024382256137,0.8881088034059803,113726.0,,,,
19,0.6477511525154114,0.829054057598114,0.8259176016547722,0.8107946554149086,0.8416154169023852,0.895045983756395,113726.0,,,,
20,0.6471408605575562,0.8097708821296692,0.814656797231075,0.8368388629763267,0.7936203241583067,0.892530181862383,113726.0,,,,
21,0.6441895365715027,0.7866451144218445,0.7987258610392195,0.8508562642489794,0.7526145476715284,0.884853828659483,113726.0,,,,
22,0.6388841271400452,0.7554033398628235,0.7817230204254584,0.879105557614585,0.7037638814320835,0.8898777468780839,113726.0,,,,
23,0.6362442970275879,0.8130682706832886,0.8155801344610714,0.8276639199943658,0.8038441149814464,0.8963925473434391,113726.0,,,,
24,0.6324154138565063,0.7292439937591553,0.7720461948474978,0.9178827298491437,0.6661982087874181,0.8965650893564814,113726.0,,,,
25,0.6233102679252625,0.7761813402175903,0.7995653337952974,0.8926750360445898,0.7240444951511694,0.9105310949699544,113726.0,,,,
26,0.6100366711616516,0.8651319742202759,0.8583173219036359,0.8204100372600611,0.8998973405388653,0.921642934136539,113726.0,,,,
27,0.5945874452590942,0.8295552730560303,0.7962795585916974,0.6660864366846011,0.9897324694325426,0.9268591610673792,113726.0,,,,
28,0.6230968236923218,0.76715087890625,0.7047793174951783,0.5569180893986645,0.9595349401979236,0.8553563382244053,113726.0,,,,
