round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
3,0.1140526384115219,0.9599388002743436,0.9377289377289376,0.9815986937457576,0.9591624538381556,0.9599388002743436,48.44805262605389,0.675720591597348,4.844805262605389,0.5878251235425497,2.4224026313026945,0.5369836273147741,0.9689610525210778,0.5144557972671157,0.4844805262605389
7,0.116763062775135,0.95950794013682,0.9374019979210344,0.980611154115522,0.9585198663267788,0.95950794013682,48.44805262605389,0.6753249037159489,4.844805262605389,0.5938395793398168,2.4224026313026945,0.5383201730475001,0.9689610525210778,0.5174630251657493,0.4844805262605389
11,0.116730585694313,0.9592793204720116,0.9376638457342928,0.9799933801625538,0.95836143105045,0.9592793204720116,48.44805262605389,0.6768988621775144,4.844805262605389,0.5911489017463025,2.4224026313026945,0.5375551764767951,0.9689610525210778,0.5193623269964652,0.4844805262605389
15,0.1170106008648872,0.9592705274079806,0.938163878013238,0.9796498304152534,0.9584581442485336,0.9592705274079806,48.44805262605389,0.6767230008968925,4.844805262605389,0.589003394122716,2.4224026313026945,0.5369660411867119,0.9689610525210778,0.5164430297381426,0.4844805262605389
19,0.1155750378966331,0.9590946661273588,0.9366352974225718,0.9808236808236808,0.9582203222387872,0.9590946661273588,48.44805262605389,0.6755623164447884,4.844805262605389,0.5930833758331429,2.4224026313026945,0.535638288518017,0.9689610525210778,0.5171992332448165,0.4844805262605389
23,0.1161183267831802,0.9596750083534108,0.9372836990320256,0.9813128805017564,0.9587930848578512,0.9596750083534108,48.44805262605389,0.6770835165221674,4.844805262605389,0.5898827005258253,2.4224026313026945,0.5355855301338305,0.9689610525210778,0.5188259500905685,0.4844805262605389
27,0.1155173480510711,0.9594727678806956,0.9376494163971312,0.9804790177012296,0.9585860491863673,0.9594727678806956,48.44805262605389,0.6760107627103741,4.844805262605389,0.5917556231644479,2.4224026313026945,0.5377486238854792,0.9689610525210778,0.5156428609113132,0.4844805262605389
31,0.116316832602024,0.9599475933383746,0.9377418900851452,0.9812963678871892,0.9590248729366256,0.9599475933383746,48.44805262605389,0.6778221339007791,4.844805262605389,0.5894342542602395,2.4224026313026945,0.5348029474350632,0.9689610525210778,0.5201712888873257,0.4844805262605389
35,0.1160447672009468,0.958927597910768,0.9363006819263096,0.9805137289636848,0.9578972986128012,0.958927597910768,48.44805262605389,0.6756326609570371,4.844805262605389,0.5887044299456589,2.4224026313026945,0.5350227740358405,0.9689610525210778,0.5168211314914796,0.4844805262605389
39,0.116861306130886,0.9590594938712343,0.9365393715277168,0.9809997613496596,0.9582541333428972,0.9590594938712343,48.44805262605389,0.6751578354993581,4.844805262605389,0.5889154634824051,2.4224026313026945,0.5393225823470447,0.9689610525210778,0.519432671508714,0.4844805262605389
43,0.1164946928620338,0.9590946661273588,0.9368435842495346,0.9805875216000588,0.9582165696630022,0.9590946661273588,48.44805262605389,0.6771362749063539,4.844805262605389,0.5925997573114328,2.4224026313026945,0.5369132828025254,0.9689610525210778,0.5171992332448165,0.4844805262605389
47,0.1137614697217941,0.9604312118600848,0.9391276953234388,0.9813094367227504,0.9597553122987764,0.9604312118600848,48.44805262605389,0.6754655927404464,4.844805262605389,0.5924854474790285,2.4224026313026945,0.5388565499533967,0.9689610525210778,0.5167771661713241,0.4844805262605389
