round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.695889949798584,0.5138842463493347,0.5076413380356952,0.4987836678975831,0.5168192945869979,0.5048608970574826,113726,,,,
1,,,,,,,,0.5,5.0,10.0,10.0
1,175.91651916503906,0.7169864177703857,0.7269271885021974,0.7545707542184803,0.7012374779021803,0.7227206049043626,113726,,,,
2,,,,,,,,0.5,5.0,14.142135623730951,10.0
2,1375.73193359375,0.5113078951835632,0.505432703003337,0.5003788212492292,0.5105897159295217,0.5104235880389039,113726,,,,
3,,,,,,,,0.5,5.0,17.32050807568877,10.0
3,909.2247924804688,0.6647204756736755,0.6283915484172773,0.5652494082580871,0.707414477870669,0.667527408239707,113726,,,,
4,,,,,,,,0.5,5.0,20.0,10.0
4,1657.7015380859375,0.6022105813026428,0.5180110591419044,0.42666339049089985,0.6591291144731848,0.6022737163668986,113726,,,,
5,,,,,,,,0.5,5.0,22.360679774997898,10.0
5,4636.755859375,0.5804477334022522,0.418348937000195,0.3017497581992438,0.6818055389994835,0.5796325971364704,113726,,,,
