round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
0,0.7010971903800964,0.34674568700209274,0.6030858244937319,0.3997280682386027,0.48078777797967653,0.34674568700209274,48.44805262605389,0.4412447461442414,4.844805262605389,0.4666215289379737,2.4224026313026945,0.4880590190457767,0.9689610525210778,0.49456588642878496,0.4844805262605389
1,0.11530730128288269,0.9597189736735663,0.9383092957153385,0.9804741213354601,0.9589284273380133,0.9597189736735663,48.44805262605389,0.6748940435784253,4.844805262605389,0.5896364947329547,2.4224026313026945,0.5371067302112094,0.9689610525210778,0.5186676749380089,0.4844805262605389
2,0.1154068261384964,0.9602025921952764,0.9378933305206905,0.9817281860670518,0.9593102704257768,0.9602025921952764,48.44805262605389,0.677619893428064,4.844805262605389,0.5889506357385295,2.4224026313026945,0.5337126074952078,0.9689610525210778,0.5186325026818845,0.4844805262605389
3,0.11405263841152191,0.9599388002743436,0.9377289377289377,0.9815986937457575,0.9591624538381557,0.9599388002743436,48.44805262605389,0.675720591597348,4.844805262605389,0.5878251235425497,2.4224026313026945,0.5369836273147741,0.9689610525210778,0.5144557972671157,0.4844805262605389
4,0.11351355165243149,0.960167419939152,0.937637203421085,0.9819934153653737,0.9593028479022551,0.960167419939152,48.44805262605389,0.6777957547086858,4.844805262605389,0.5889330496104672,2.4224026313026945,0.5347326029228144,0.9689610525210778,0.5154669996306913,0.4844805262605389
5,0.11484259366989136,0.9595694915850377,0.9367831188162158,0.9818659031257456,0.9587948524930997,0.9595694915850377,48.44805262605389,0.6781562703339605,4.844805262605389,0.5914566589873907,2.4224026313026945,0.5345655347062237,0.9689610525210778,0.5197668079418954,0.4844805262605389
6,0.11531459540128708,0.9594375956245713,0.9367554155595051,0.9812172823121729,0.9584709981184563,0.9594375956245713,48.44805262605389,0.6776550656841883,4.844805262605389,0.5899090797179185,2.4224026313026945,0.5348557058192498,0.9689610525210778,0.5187468125142888,0.4844805262605389
7,0.11676306277513504,0.9595079401368201,0.9374019979210345,0.9806111541155221,0.9585198663267788,0.9595079401368201,48.44805262605389,0.6753249037159489,4.844805262605389,0.5938395793398168,2.4224026313026945,0.5383201730475001,0.9689610525210778,0.5174630251657493,0.4844805262605389
8,0.11383207142353058,0.9606686245889242,0.9395657609748367,0.9808632670318762,0.95977047676437,0.9606686245889242,48.44805262605389,0.6764416228478976,4.844805262605389,0.5878690888627051,2.4224026313026945,0.5382850007913758,0.9689610525210778,0.5200657721189526,0.4844805262605389
9,0.11528821289539337,0.9599388002743436,0.9381641320246005,0.9807129041171594,0.9589667843504575,0.9599388002743436,48.44805262605389,0.6755183511246329,4.844805262605389,0.5887396022017832,2.4224026313026945,0.5368429382902766,0.9689610525210778,0.518104918840019,0.4844805262605389
