round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.6776430606842041,0.6686334013938904,0.5256824961296901,0.36637484868155584,0.9301175841795831,0.7478804237571202,113726,,,,
1,,,,,,,,1.5,12.0,8.0,8.0
1,6673.31103515625,0.5790584683418274,0.47279855512972996,0.37629941274432466,0.6358600669451109,0.5802886136073772,113726,,,,
2,,,,,,,,1.5,12.0,11.313708498984761,8.0
2,21230.962890625,0.5063749551773071,0.5156341673856772,0.5277184183105805,0.5040909627680213,0.50613309242586,113726,,,,
3,,,,,,,,1.5,12.0,13.856406460551018,8.0
3,42565.7890625,0.3862089514732361,0.35422872684885376,0.3381612646825046,0.3718992210415898,0.38580948294023204,113726,,,,
4,,,,,,,,1.5,12.0,16.0,8.0
4,64488.50390625,0.5436311960220337,0.5215395252362296,0.496393787838905,0.5493688094775685,0.5436083017972351,113726,,,,
5,,,,,,,,1.5,12.0,17.88854381999832,8.0
5,103262.40625,0.5844749808311462,0.47352941176470587,0.3735170571383377,0.6466847214192253,0.584587929651614,113726,,,,
