Noise Scale,Noisy Accuracy,Recall,Precision,F1
0.1,0.9610731055343545,0.9450609359337355,0.9763271683441735,0.9604396586390241
0.5,0.8138596275258076,0.8050050120464978,0.8195180464050416,0.8121967015321286
1.0,0.677619893428064,0.6707876826759053,0.6800805905216988,0.675402172661998
5.0,0.53735293600408,0.5347941543710322,0.5375450753022697,0.5361660863049323
10.0,0.5171464748606299,0.5198283593901131,0.5170549958018472,0.5184379686225675
