round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
0,0.7010971903800964,0.3467456870020927,0.6030858244937319,0.3997280682386027,0.4807877779796765,0.3467456870020927,48.44805262605389,0.4412447461442414,4.844805262605389,0.4666215289379737,2.4224026313026945,0.4880590190457767,0.9689610525210778,0.4945658864287849,0.4844805262605389
4,0.1135135516524314,0.960167419939152,0.937637203421085,0.9819934153653735,0.9593028479022552,0.960167419939152,48.44805262605389,0.6777957547086858,4.844805262605389,0.5889330496104672,2.4224026313026945,0.5347326029228144,0.9689610525210778,0.5154669996306913,0.4844805262605389
8,0.1138320714235305,0.9606686245889242,0.9395657609748368,0.9808632670318762,0.95977047676437,0.9606686245889242,48.44805262605389,0.6764416228478976,4.844805262605389,0.5878690888627051,2.4224026313026945,0.5382850007913758,0.9689610525210778,0.5200657721189526,0.4844805262605389
12,0.1153251826763153,0.9591386314475142,0.9374046337057368,0.980229615229432,0.958338936553616,0.9591386314475142,48.44805262605389,0.6759492112621565,4.844805262605389,0.5881504669117,2.4224026313026945,0.5387949985051791,0.9689610525210778,0.5192656032921231,0.4844805262605389
16,0.1165444925427436,0.9589715632309236,0.936790751935518,0.979847655672238,0.957835571379516,0.9589715632309236,48.44805262605389,0.6734871533334506,4.844805262605389,0.5926613087596504,2.4224026313026945,0.5338884687758296,0.9689610525210778,0.5201624958232945,0.4844805262605389
20,0.1150127053260803,0.9600970754269031,0.9380549571796354,0.9816542345545516,0.9593594956207124,0.9600970754269031,48.44805262605389,0.6762393823751824,4.844805262605389,0.5908059722490899,2.4224026313026945,0.5351458769322758,0.9689610525210778,0.5196964634296467,0.4844805262605389
24,0.1154331192374229,0.959886041890157,0.93813202247191,0.9809450379997796,0.9590609688245956,0.959886041890157,48.44805262605389,0.6772505847387581,4.844805262605389,0.5916149341399504,2.4224026313026945,0.5370979371471784,0.9689610525210778,0.5171992332448165,0.4844805262605389
28,0.1182671934366226,0.9585670822854933,0.9360214488487016,0.9805235332990676,0.9577558229187212,0.9585670822854933,48.44805262605389,0.6751314563072648,4.844805262605389,0.5912104531945201,2.4224026313026945,0.534398466489633,0.9689610525210778,0.5183511246328896,0.4844805262605389
32,0.1155595183372497,0.9593848372403848,0.9372038330583734,0.9808783821017248,0.9585438749225896,0.9593848372403848,48.44805262605389,0.6745071487610573,4.844805262605389,0.5926437226315882,2.4224026313026945,0.5356558746460792,0.9689610525210778,0.5169881997080703,0.4844805262605389
36,0.1182466894388198,0.9582153597242496,0.9349962207105064,0.9805696377546318,0.9572408083934708,0.9582153597242496,48.44805262605389,0.6747005961697413,4.844805262605389,0.5888275328420941,2.4224026313026945,0.5371946608515203,0.9689610525210778,0.5200657721189526,0.4844805262605389
40,0.1177884936332702,0.9583912210048714,0.9357027350066792,0.9802239080798408,0.9574460431654676,0.9583912210048714,48.44805262605389,0.6767581731530169,4.844805262605389,0.5925557919912773,2.4224026313026945,0.5351282908042136,0.9689610525210778,0.5191688795877811,0.4844805262605389
44,0.1162673681974411,0.9599036280182192,0.9378735672596864,0.9811313814918348,0.9590149200071904,0.9599036280182192,48.44805262605389,0.6753161106519178,4.844805262605389,0.5923535515185622,2.4224026313026945,0.5363856989606598,0.9689610525210778,0.5188875015387862,0.4844805262605389
48,0.1180299967527389,0.9599651794664368,0.9378991256619108,0.981172703180212,0.9590480216587666,0.9599651794664368,48.44805262605389,0.676960413625732,4.844805262605389,0.5926613087596504,2.4224026313026945,0.5389005152735522,0.9689610525210778,0.5205493906406626,0.4844805262605389
