round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.0795523818525112,0.0918591781544465,1.1547005383792517,1.1547005383792517
2,,,,,,,,0.066478523210457,0.0767627865417723,1.632993161855452,1.1547005383792517
3,,,,,,,,0.0626569067534354,0.0723499639613704,2.0,1.1547005383792517
4,,,,,,,,0.0661866013925907,0.0764257042615174,2.309401076758503,1.1547005383792517
5,,,,,,,,0.0783563297036585,0.0904780960942366,2.581988897471611,1.1547005383792517
6,,,,,,,,0.0967691053514681,0.1117393380478187,2.82842712474619,1.1547005383792517
7,,,,,,,,0.0967058651329813,0.1116663145334848,3.055050463303893,1.1547005383792517
8,,,,,,,,0.1028555522418432,0.1187673615489516,3.265986323710904,1.1547005383792517
9,,,,,,,,0.116298691963207,0.1342901622227178,3.4641016151377544,1.1547005383792517
10,,,,,,,,0.1366447672430143,0.1577837863022161,3.651483716701108,1.1547005383792517
11,,,,,,,,0.1732739589869221,0.2000795337293033,3.829708431025352,1.1547005383792517
12,,,,,,,,0.2210502322526876,0.255246822191037,4.0,1.1547005383792517
13,,,,,,,,0.2536518240721024,0.2928918978169358,4.163331998932265,1.1547005383792517
14,,,,,,,,0.2641616047695955,0.3050275472465789,4.320493798938573,1.1547005383792517
15,,,,,,,,0.2828291552154955,0.3265829777966816,4.47213595499958,1.1547005383792517
16,,,,,,,,0.2958994543435354,0.3416752592366071,4.618802153517006,1.1547005383792517
17,,,,,,,,0.2955298871970218,0.3412485198535605,4.760952285695233,1.1547005383792517
18,,,,,,,,0.3198242859310402,0.3693012751513318,4.898979485566356,1.1547005383792517
19,,,,,,,,0.4015736133807792,0.4636972675696871,5.033222956847166,1.1547005383792517
20,,,,,,,,0.546626453392377,0.6311898600245186,5.163977794943222,1.1547005383792517
21,,,,,,,,0.7156500953356444,0.8263615503752312,5.2915026221291805,1.1547005383792517
22,,,,,,,,0.7756685577505444,0.8956649012384111,5.41602560309064,1.1547005383792517
23,,,,,,,,0.9340966424029128,1.0786018958808947,5.537749241945383,1.1547005383792517
24,,,,,,,,1.0647450902762186,1.2294617289786145,5.65685424949238,1.1547005383792517
25,,,,,,,,1.063954184088576,1.228548469177936,5.773502691896257,1.1547005383792517
26,,,,,,,,1.0082051466012063,1.164175025577145,5.887840577551898,1.1547005383792517
27,,,,,,,,1.1429356027594737,1.3197483558391785,6.0,1.1547005383792517
28,,,,,,,,1.167551268901177,1.3481720787855676,6.110100926607787,1.1547005383792517
29,,,,,,,,1.32973372518345,1.5354442483703774,6.2182527020592095,1.1547005383792517
30,,,,,,,,1.097043403545825,1.2667566086997706,6.324555320336758,1.1547005383792517
31,,,,,,,,1.0548143999940438,1.2179947555633095,6.429100507328636,1.1547005383792517
32,,,,,,,,1.101492818692469,1.2718943507650733,6.531972647421808,1.1547005383792517
33,,,,,,,,1.2810745377728676,1.479257458470281,6.6332495807108,1.1547005383792517
34,,,,,,,,1.5257266081942271,1.7617573359014234,6.733003292241385,1.1547005383792517
35,,,,,,,,1.4168802571999195,1.6360723958076795,6.831300510639732,1.1547005383792517
36,,,,,,,,1.630693320453613,1.882962455059236,6.928203230275509,1.1547005383792517
37,,,,,,,,2.066115346014685,2.38574450239679,7.023769168568491,1.1547005383792517
38,,,,,,,,2.759879898783879,3.1868348049878192,7.118052168020873,1.1547005383792517
39,,,,,,,,2.7932914635827277,3.2254151568491425,7.211102550927978,1.1547005383792517
40,,,,,,,,2.8799373033811637,3.325465154712719,7.302967433402215,1.1547005383792517
41,,,,,,,,3.3643827053232047,3.884854521150547,7.393691004272944,1.1547005383792517
42,,,,,,,,4.32521236434896,4.994325045718338,7.483314773547883,1.1547005383792517
43,,,,,,,,3.917303641508711,4.523312623845111,7.571877794400364,1.1547005383792517
44,,,,,,,,3.932752954182375,4.54115195350698,7.659416862050704,1.1547005383792517
45,,,,,,,,4.415955601438004,5.099106310439334,7.745966692414834,1.1547005383792517
46,,,,,,,,5.325748243174791,6.149644363666284,7.831560082980487,1.1547005383792517
47,,,,,,,,6.5490193203482825,7.562156135062281,7.916228058025277,1.1547005383792517
48,,,,,,,,8.156357094430929,9.41814992815282,7.999999999999999,1.1547005383792517
49,,,,,,,,10.041447366261709,11.594864679929312,8.08290376865476,1.1547005383792517
50,,,,,,,,10.59238063151483,12.23102761792813,8.16496580927726,1.1547005383792517
