,FDFCAC_accuracy,FDFCAC_recall,FDFCAC_f1,FDFCAC_precision,FDFCFC_accuracy,FDFCFC_recall,FDFCFC_f1,FDFCFC_precision,FDFSAC_accuracy,FDFSAC_recall,FDFSAC_f1,FDFSAC_precision,FDFSFC_accuracy,FDFSFC_recall,FDFSFC_f1,FDFSFC_precision
0,0.6327049136161804,0.3854069879560316,0.5128121391665403,0.7660464143842777,0.5636441707611084,0.1382277231214076,0.2401041267896791,0.9130080354023524,0.2420466691255569,0.4624037788663401,0.3801353362912678,0.3227188923212171,0.730316698551178,0.7072205736894164,0.7230699774266365,0.7396460634721247
1,0.6774703860282898,0.4965635133229945,0.6057355375454134,0.7764397905759163,0.7995005249977112,0.6297883551418284,0.7587498412967116,0.9541257550357892,0.2939960956573486,0.5766509433962265,0.4493714724620586,0.3681194593319176,0.8044334650039673,0.8925635801601799,0.8204619023401868,0.7591383714503384
2,0.678683876991272,0.4992168112779176,0.6082211167338537,0.778125257180479,0.8040553331375122,0.6357039443483173,0.7636753133815513,0.95615572551519,0.3054182827472687,0.5969028954244927,0.4628733068595986,0.3779971791255289,0.7915868163108826,0.8999911979579263,0.8118142119888846,0.7393737797382313
3,0.6780067682266235,0.4980880046522283,0.606877153807341,0.7764683259161584,0.8038530945777893,0.6360452017179469,0.7641392727618765,0.956838342380511,0.2958866059780121,0.5746925360474979,0.4482159837929466,0.3673669942392409,0.7997731566429138,0.8743319268635724,0.8137112938192825,0.7609517251931758
4,0.6777254343032837,0.4976697560718243,0.6069471403905756,0.7777167042269004,0.8011888265609741,0.6336162393910229,0.7620651190200577,0.955835379213854,0.3026396632194519,0.5952485701715794,0.4603356060915364,0.3752787547291225,0.8501397967338562,0.8538212412433556,0.8505799528322564,0.8473631806033504
5,0.6776198744773865,0.4964199631362541,0.60442583861118,0.7724978625996305,0.8028067350387573,0.6354331539516724,0.763164008871053,0.9551654858834726,0.2893445789813995,0.5691129883843717,0.444513175801064,0.3646728466066716,0.8636898994445801,0.8302095982260704,0.8588828605760478,0.8896075732146561
6,0.678094744682312,0.4992899346038536,0.6087318976112863,0.7796211125711783,0.8012679815292358,0.6293721140066876,0.7589200951476816,0.9556224144415194,0.3201906383037567,0.6413016536241635,0.4837468949491172,0.388339730257092,0.8601199388504028,0.8272377795020103,0.8550259728424313,0.8847459545094489
7,0.6752105951309204,0.4934357541899441,0.6048039373027336,0.7810971396987703,0.8037036657333374,0.635792142844565,0.7638571549462639,0.9565263464646198,0.3200587332248688,0.6360533445934058,0.4832153764928389,0.3895983533240654,0.8580535650253296,0.8043268302105466,0.8501823648968455,0.9015825525549168
8,0.6774792075157166,0.4971315946925703,0.6063598021013318,0.7771023024234589,0.8042927980422974,0.6378758572182169,0.7652438059677878,0.9561664777669416,0.3350772857666015,0.6642406004513883,0.5010326556736676,0.4022077674428459,0.8379086852073669,0.8247615024465801,0.8356308515381187,0.8467905161197051
9,0.6793960928916931,0.4989442196023227,0.608665786564489,0.7802482045073058,0.8038530945777893,0.6368907059528425,0.7641691951495417,0.955024707343498,0.3322634994983673,0.6611920111015476,0.4978276826631221,0.3991961141984473,0.8440725803375244,0.8043090192474239,0.8369334326464177,0.8723163625210857
10,0.6786750555038452,0.4997187258280008,0.6087263772150543,0.7785598860617349,0.8016988039016724,0.6332882985629814,0.7619540205619709,0.9562326135912042,0.3422172665596008,0.6813265789058529,0.5096070012127569,0.4070222836558599,0.8405113816261292,0.7763412149105857,0.829731708690836,0.891008064516129
11,0.6771978139877319,0.4959409854581392,0.6048969488241942,0.7752062012082426,0.8007140159606934,0.632132739781465,0.7602099115493673,0.9533742005678952,0.2919560968875885,0.581625653022814,0.4509358698987419,0.3682018618324351,0.845910370349884,0.7703071371996831,0.833190549622099,0.9072534671116732
12,0.6782529950141907,0.4963712454309477,0.6057471635905227,0.7769485903814262,0.8011888265609741,0.6327542120564643,0.7616688451321837,0.9565528196981732,0.3228197693824768,0.6411830552348969,0.4877104522686605,0.3935184688214519,0.8624061346054077,0.813370669766295,0.8551325729521552,0.9014150483068216
13,0.6771186590194702,0.4982630969507702,0.6073567151411462,0.7776134932369531,0.8031497001647949,0.6352376093037986,0.7633434464095056,0.9561705508474576,0.3607881963253021,0.723701155508512,0.5302150044267518,0.4183629762584645,0.8588361740112305,0.8123871881082995,0.8511727078891259,0.8938473520249222
14,0.6799148917198181,0.4993393351068515,0.608950670333448,0.780218570209486,0.8050225973129272,0.6388062853020359,0.7660526260260387,0.9566019340728834,0.3937885761260986,0.7867285252354843,0.5649743182018956,0.4407427097485577,0.843835175037384,0.8268402832691936,0.8412386247832228,0.8561473098127695
15,0.6782793998718262,0.4979329029080098,0.6074080432636594,0.7785877369130471,0.8015844821929932,0.6337281740808984,0.7619499741536643,0.9552187483468232,0.4083674848079681,0.8169477798514032,0.5797009107604663,0.4492390209898536,0.8593813180923462,0.7978208445547518,0.8500403218244219,0.9095743613413336
16,0.6768021583557129,0.4975727301509128,0.6061885272248055,0.7754660087719298,0.8032639622688293,0.6363251257611862,0.7631779499555442,0.9532006028396922,0.4647837877273559,0.9243826890432774,0.6344527721725761,0.482970494381406,0.8527777194976807,0.8094293587965807,0.8463536170173717,0.8868076923076923
17,0.6775671243667603,0.4972322291538529,0.606804705175908,0.7783187544699345,0.8017603754997253,0.6336452864642775,0.761985198635994,0.9555178987502648,0.4623481035232544,0.9285739517467944,0.6323056292207128,0.479361750626852,0.8530502915382385,0.8142338468046106,0.8468306631960992,0.8821462669467253
18,0.6759932041168213,0.4965359592052049,0.605160516051605,0.7746200691282163,0.8041169047355652,0.6360927969537779,0.7641222748112618,0.9566773603414904,0.4530626237392425,0.901773987356181,0.623455556968079,0.476416927261625,0.8419974446296692,0.8251912163829263,0.8390090937597993,0.8532976144916443
19,0.6776814460754395,0.4976936619718309,0.606669957293388,0.7767489146562621,0.8015581369400024,0.6338193749890334,0.7619710585157998,0.9550778667935804,0.4035049080848694,0.8122475731594984,0.5748042847382838,0.4447817947250487,0.8319908976554871,0.8442894384555767,0.8338102651973107,0.8235880341586626
20,0.67601078748703,0.4965653804366873,0.6060094097519247,0.7773358204860921,0.8036332726478577,0.636833289253284,0.7638524659504271,0.9541647953927034,0.2098992317914962,0.3578510369955157,0.3125779379250725,0.2774736842105263,0.8313930034637451,0.8161038687234267,0.8289122656744916,0.8421291176417266
21,0.6777254343032837,0.4948689917833339,0.604981516010476,0.7781197149907122,0.8017955422401428,0.634186622625929,0.762057572334878,0.9545166067273112,0.4739549458026886,0.861554920289728,0.621540408034161,0.4861166086130462,0.8288429975509644,0.8266330337905302,0.8290219157626597,0.8314246449839671
22,0.6757645606994629,0.4947582483082641,0.6048565121412804,0.7779799316352409,0.8025429248809814,0.633147867732507,0.7620531078475005,0.9568653539116552,0.4820533692836761,0.8828224101479916,0.6298186297306468,0.4895273636701119,0.8098236322402954,0.8574810940702523,0.817774332704233,0.7815821683952844
