,FDFCAC_privacy_budget,FDFCAC_clipping_norm,FDFCAC_dp_noise_stddev,FDFCFC_privacy_budget,FDFCFC_clipping_norm,FDFCFC_dp_noise_stddev,FDFSAC_privacy_budget,FDFSAC_clipping_norm,FDFSAC_dp_noise_stddev,FDFSFC_privacy_budget,FDFSFC_clipping_norm,FDFSFC_dp_noise_stddev
0,0.0100125234864351,0.1008178903595056,0.0010094414950773,0.01,0.1,0.001,0.0100125234864351,0.0963962191170572,0.000965169407913,0.01,0.5,0.005
1,0.0141598465080957,0.1207940760327139,0.0012094535232997,0.0141421356237309,0.1,0.001,0.0141598465080957,0.0926098340600241,0.0009272581386008,0.0141421356237309,0.5,0.005
2,0.0173421993904824,0.1456085746620952,0.0014579092736305,0.0173205080756887,0.1,0.001,0.0173421993904824,0.0990723154970435,0.0009919638857696,0.0173205080756887,0.5,0.005
3,0.0200250469728703,0.1752168171135804,0.0017543624965681,0.02,0.1,0.001,0.0200250469728703,0.1184613919550717,0.0011860974691859,0.02,0.5,0.005
4,0.0223886831419822,0.2084082577440865,0.0020866925754297,0.0223606797749978,0.1,0.001,0.0223886831419822,0.1432921468197374,0.0014347159854543,0.0223606797749978,0.5,0.005
5,0.0245255735793986,0.2538352482072021,0.0025415313843597,0.0244948974278317,0.1,0.001,0.0245255735793986,0.1710158256189055,0.0017122999705613,0.0244948974278317,0.5,0.005
6,0.0264906471413008,0.3006101536384084,0.0030098662235654,0.0264575131106459,0.1,0.001,0.0264906471413008,0.2021314945533865,0.002023846336564,0.0264575131106459,0.5,0.005
7,0.0283196930161915,0.3495502900009338,0.0034998804883245,0.0282842712474619,0.1,0.001,0.0283196930161915,0.2391327491393378,0.0023943222671334,0.0282842712474619,0.5,0.005
8,0.0300375704593055,0.4192811514706188,0.0041980623765191,0.03,0.1,0.001,0.0300375704593055,0.282343644658722,0.0028269723733911,0.03,0.5,0.005
9,0.0316623793430651,0.5004706825110825,0.0050109744629144,0.0316227766016838,0.1,0.001,0.0316623793430651,0.337886245611361,0.0033830939699271,0.0316227766016838,0.5,0.005
10,0.0332077836091265,0.5986168674473165,0.0059936654446925,0.033166247903554,0.1,0.001,0.0332077836091265,0.4030288626413548,0.0040353359529078,0.033166247903554,0.5,0.005
11,0.0346843987809648,0.716752403022803,0.0071765002692246,0.0346410161513775,0.1,0.001,0.0346843987809648,0.4825540577695379,0.004831583836892,0.0346410161513775,0.5,0.005
12,0.0361006668271295,0.8491282608664508,0.0085019166549211,0.0360555127546398,0.1,0.001,0.0361006668271295,0.5764203760387494,0.0057714225531477,0.0360555127546398,0.5,0.005
13,0.0374634324632677,1.025717390953971,0.0102700194673716,0.0374165738677394,0.1,0.001,0.0374634324632677,0.6892109641477336,0.0069007409656378,0.0374165738677394,0.5,0.005
14,0.038778336716474,1.199340709484502,0.0120084270219514,0.0387298334620741,0.1,0.001,0.038778336716474,0.8178284902598021,0.008188526966602,0.0387298334620741,0.5,0.005
15,0.0400500939457407,1.4296617597058976,0.0143145219467135,0.04,0.1,0.001,0.0400500939457407,0.9826756403840344,0.0098390629288928,0.04,0.5,0.005
16,0.0412826919135498,1.7022794313504857,0.0170441127868722,0.0412310562561766,0.1,0.001,0.0412826919135498,1.182067227786654,0.0118354758807591,0.0412310562561766,0.5,0.005
17,0.0424795395242873,2.053892773499613,0.0205646496332843,0.0424264068711928,0.1,0.001,0.0424795395242873,1.4304427170622456,0.0143223413005858,0.0424264068711928,0.5,0.005
18,0.0436435780471984,2.4746935592904538,0.0247779273841255,0.0435889894354067,0.1,0.001,0.0436435780471984,1.7055829985313544,0.0170771898308597,0.0435889894354067,0.5,0.005
19,0.0447773662839645,2.9687247645677584,0.0297244264299964,0.0447213595499957,0.1,0.001,0.0447773662839645,2.059505682872119,0.0206208490202038,0.0447213595499957,0.5,0.005
20,0.0458831467741123,3.5624380207050472,0.0356689943512789,0.0458257569495584,0.1,0.001,0.0458831467741123,2.4843216747872647,0.0248743291166674,0.0458257569495584,0.5,0.005
21,0.0469628979563777,4.2714013332302505,0.0427675061689584,0.0469041575982343,0.1,0.001,0.0469628979563777,2.924801404000731,0.0292846427507159,0.0469041575982343,0.5,0.005
22,0.0480183757641548,5.128909951565779,0.0513533313498634,0.0479583152331271,0.1,0.001,0.0480183757641548,3.5408841191015425,0.0354531854052495,0.0479583152331271,0.5,0.005
23,0.0490511471587972,6.137121451582636,0.0614480726730762,0.0489897948556635,0.1,0.001,0.0490511471587972,4.345570436378597,0.043510126056199,0.0489897948556635,0.5,0.005
24,0.0500626174321758,7.416326387270784,0.0742561421356176,0.05,0.1,0.001,0.0500626174321758,5.154703149540965,0.0516115863503802,0.05,0.5,0.005
